2025-07-31 09:23:26.256 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 09:23:27.001 [Debug] [DashboardScreen][Constructor] Component created | Id=a7067674-ef0f-49b3-8d9d-a787e45bc3df Type=DashboardScreen
2025-07-31 09:23:27.145 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:23:27.819 [Info] [SpeedTUI][Startup] Application startup completed
2025-07-31 09:23:27.838 [Trace] [SpeedTUI][MainLoop] Refresh needed | CurrentScreen=DashboardScreen ScreenDetails=System.Collections.Hashtable
2025-07-31 09:23:28.526 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:23:29.360 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=13 CurrentScreen=DashboardScreen Key=Enter
2025-07-31 09:23:29.501 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:23:29.534 [Debug] [SpeedTUI][TimeTrackingScreen] Initializing forms
2025-07-31 09:23:29.557 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm created
2025-07-31 09:23:29.642 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project Name Placeholder=e.g., Website Redesign FieldCount=3
2025-07-31 09:23:29.679 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm fields added | FieldCount=9
2025-07-31 09:23:29.691 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project ID1 Placeholder=e.g., PRJ001 FieldCount=1
2025-07-31 09:23:29.697 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project ID2 Placeholder=e.g., TASK01 FieldCount=2
2025-07-31 09:23:29.704 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project Name Placeholder=e.g., Website Redesign FieldCount=3
2025-07-31 09:23:29.840 [Trace] [SpeedTUI][MainLoop] Refresh needed | CurrentScreen=TimeTrackingScreen ScreenDetails=System.Collections.Hashtable
