2025-07-31 09:30:32.375 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 09:30:33.106 [Debug] [DashboardScreen][Constructor] Component created | Type=DashboardScreen Id=386582a7-edc8-4bfd-abf4-8a0d7a941928
2025-07-31 09:30:33.259 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:30:33.953 [Info] [SpeedTUI][Startup] Application startup completed
2025-07-31 09:30:33.972 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:30:34.667 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:30:36.904 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=Enter KeyChar=13
2025-07-31 09:30:37.031 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:30:37.064 [Debug] [SpeedTUI][TimeTrackingScreen] Initializing forms
2025-07-31 09:30:37.087 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm created
2025-07-31 09:30:37.172 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., Website Redesign FieldCount=3 Label=Project Name
2025-07-31 09:30:37.212 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm fields added | FieldCount=9
2025-07-31 09:30:37.228 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., PRJ001 FieldCount=1 Label=Project ID1
2025-07-31 09:30:37.237 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., TASK01 FieldCount=2 Label=Project ID2
2025-07-31 09:30:37.245 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., Website Redesign FieldCount=3 Label=Project Name
2025-07-31 09:30:37.400 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:30:37.465 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | AddFormExists=True EditFormExists=True TimeEntriesCount=4 ViewMode=List
2025-07-31 09:30:37.729 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=28
2025-07-31 09:30:39.388 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=A KeyChar=97
2025-07-31 09:30:39.417 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True KeyString=A ViewMode=List
2025-07-31 09:30:39.596 [Debug] [SpeedTUI][FormManager] Form activated | TotalFields=9 FirstFieldLabel=Project ID1
2025-07-31 09:30:39.749 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:30:39.794 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | AddFormExists=True EditFormExists=True TimeEntriesCount=4 ViewMode=Add
2025-07-31 09:30:39.939 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 09:30:42.871 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=DownArrow KeyChar=0
2025-07-31 09:30:42.879 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True KeyString=DownArrow ViewMode=Add
2025-07-31 09:30:42.932 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 Key=DownArrow CurrentFieldIndex=0
2025-07-31 09:30:42.951 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=1 NewFieldLabel=Project ID2
2025-07-31 09:30:43.008 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:30:43.055 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | AddFormExists=True EditFormExists=True TimeEntriesCount=4 ViewMode=Add
2025-07-31 09:30:43.100 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 09:30:45.213 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=Enter KeyChar=13
2025-07-31 09:30:45.233 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True KeyString=Enter ViewMode=Add
2025-07-31 09:30:45.249 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 Key=Enter CurrentFieldIndex=1
2025-07-31 09:30:45.343 [Debug] [SpeedTUI][FormManager] Form validation result | InvalidFields=Project ID1, Project ID2 IsValid=False
2025-07-31 09:30:45.353 [Debug] [SpeedTUI][FormManager] Moved to first invalid field | FieldLabel=Project ID1 ValidationError=This field is required
2025-07-31 09:30:45.409 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:30:45.462 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | AddFormExists=True EditFormExists=True TimeEntriesCount=4 ViewMode=Add
2025-07-31 09:30:45.482 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=26
