2025-07-31 09:43:37.960 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 09:43:38.749 [Debug] [DashboardScreen][Constructor] Component created | Type=DashboardScreen Id=739c5535-23ae-47e0-8990-dd6f38fb5148
2025-07-31 09:43:38.891 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:43:39.614 [Info] [SpeedTUI][Startup] Application startup completed
2025-07-31 09:43:39.636 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:40.380 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:42.870 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:42.977 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:43.094 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:43.706 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:43.825 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:43.986 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:44.043 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:44.114 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:44.187 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:44.628 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:44.727 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:44.810 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:45.367 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=UpArrow KeyChar=0
2025-07-31 09:43:45.470 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:45.574 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:45.737 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=UpArrow KeyChar=0
2025-07-31 09:43:45.812 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:45.891 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:46.042 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=UpArrow KeyChar=0
2025-07-31 09:43:46.129 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:46.198 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:48.603 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=UpArrow KeyChar=0
2025-07-31 09:43:48.710 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 09:43:48.818 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=42
2025-07-31 09:43:50.497 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=DashboardScreen Key=Enter KeyChar=13
2025-07-31 09:43:50.627 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 09:43:50.667 [Debug] [SpeedTUI][TimeTrackingScreen] Initializing forms
2025-07-31 09:43:50.704 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm created
2025-07-31 09:43:50.817 [Debug] [SpeedTUI][FormManager] Added text field | FieldCount=3 Placeholder=e.g., Website Redesign Label=Project Name
2025-07-31 09:43:50.850 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm fields added | FieldCount=9
2025-07-31 09:43:50.861 [Debug] [SpeedTUI][FormManager] Added text field | FieldCount=3 Placeholder=e.g., Website Redesign Label=Project Name
2025-07-31 09:43:50.976 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:43:51.047 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True EditFormExists=True ViewMode=List
2025-07-31 09:43:51.319 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=28
2025-07-31 09:43:53.311 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:53.340 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 09:43:53.472 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:43:53.526 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True EditFormExists=True ViewMode=List
2025-07-31 09:43:53.546 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=28
2025-07-31 09:43:53.919 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:53.929 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 09:43:54.001 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 09:43:54.089 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True EditFormExists=True ViewMode=List
2025-07-31 09:43:54.113 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=28
2025-07-31 09:43:54.126 [Trace] [SpeedTUI][MainLoop] Key pressed | CurrentScreen=TimeTrackingScreen Key=DownArrow KeyChar=0
2025-07-31 09:43:54.134 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 09:43:54.194 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
