2025-07-31 11:30:06.114 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 11:30:06.898 [Debug] [DashboardScreen][Constructor] Enhanced component created | Type=DashboardScreen Id=366f3fa3-f9da-43ab-97b0-96a24adc5a49
2025-07-31 11:30:07.027 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 11:30:07.760 [Info] [SpeedTUI][Startup] Application startup completed
2025-07-31 11:30:07.779 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:08.568 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:10.692 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=DownArrow
2025-07-31 11:30:10.787 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:10.895 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:11.681 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=DownArrow
2025-07-31 11:30:11.757 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:11.863 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:12.158 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=DownArrow
2025-07-31 11:30:12.236 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:12.331 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:13.824 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=DownArrow
2025-07-31 11:30:13.943 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:14.059 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:14.627 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=UpArrow
2025-07-31 11:30:14.744 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:14.898 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:15.062 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=UpArrow
2025-07-31 11:30:15.178 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:15.265 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:15.306 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=UpArrow
2025-07-31 11:30:15.376 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:15.451 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:16.852 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=DashboardScreen Key=UpArrow
2025-07-31 11:30:16.929 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=DashboardScreen
2025-07-31 11:30:17.005 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=48
2025-07-31 11:30:19.034 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=13 CurrentScreen=DashboardScreen Key=Enter
2025-07-31 11:30:19.157 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 11:30:19.196 [Debug] [SpeedTUI][TimeTrackingScreen] Initializing forms
2025-07-31 11:30:19.224 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm created
2025-07-31 11:30:19.335 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., Website Redesign Label=Project Name FieldCount=3
2025-07-31 11:30:19.369 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm fields added | FieldCount=9
2025-07-31 11:30:19.379 [Debug] [SpeedTUI][FormManager] Added text field | Placeholder=e.g., Website Redesign Label=Project Name FieldCount=3
2025-07-31 11:30:19.436 [Debug] [SpeedTUI][TimeTrackingScreen] Current week initialized | WeekEnding=2025-08-01 WeekStarting=2025-07-28
2025-07-31 11:30:19.550 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:19.619 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:30:19.834 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=21
2025-07-31 11:30:21.044 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:21.057 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
