2025-07-31 13:10:51.609 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0-Enhanced starting up
2025-07-31 13:10:52.374 [Info] [SpeedTUI][EnhancedApplication] Creating enhanced application with RenderEngine integration
2025-07-31 13:10:52.472 [Info] [SpeedTUI][EnhancedApplication] Enhanced application created successfully
2025-07-31 13:10:52.659 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 13:10:53.349 [Info] [SpeedTUI][Startup] Enhanced application startup completed
2025-07-31 13:10:54.422 [Info] [SpeedTUI][EnhancedApplication] Starting enhanced application | StartScreen=DashboardScreen
2025-07-31 13:10:54.507 [Debug] [SpeedTUI][EnhancedApplication] Initializing application systems
2025-07-31 13:10:54.588 [Info] [SpeedTUI][EnhancedApplication] Application initialized | TerminalSize=169x44
2025-07-31 13:10:54.719 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=DashboardScreen
2025-07-31 13:11:09.141 [Info] [SpeedTUI][TimeTrackingService] Initialized for fiscal year: 2025-2026
2025-07-31 13:11:09.180 [Debug] [SpeedTUI][TimeTrackingScreen] Initializing forms
2025-07-31 13:11:09.202 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm created
2025-07-31 13:11:09.284 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project Name Placeholder=e.g., Website Redesign FieldCount=3
2025-07-31 13:11:09.317 [Debug] [SpeedTUI][TimeTrackingScreen] AddForm fields added | FieldCount=9
2025-07-31 13:11:09.328 [Debug] [SpeedTUI][FormManager] Added text field | Label=Project Name Placeholder=e.g., Website Redesign FieldCount=3
2025-07-31 13:11:09.377 [Debug] [SpeedTUI][TimeTrackingScreen] Current week initialized | WeekEnding=2025-08-01 WeekStarting=2025-07-28
2025-07-31 13:11:09.453 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:11.312 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:11.769 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:11.920 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:12.078 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:12.246 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:12.952 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
2025-07-31 13:11:13.504 [Error] [SpeedTUI][EnhancedApplication] Failed to render screen | Exception=Method invocation failed because [InternalVT100] does not contain a method named 'Clear'. ScreenType=TimeTrackingScreen
